description,name,ex_name,latitude,tvperc,dma,dma1,cableperc,adsperc,longitude
,dma:,dma:,32.404348,89.2,662,"Abilene-Sweetwater, TX",38.2,51.8,-99.8293625
,dma:,dma:,31.5279975,92.7,525,"Albany, GA",50.9,42.6,-83.7121235
,dma:,dma:,43.049266,92.1,532,"Albany-Schenectady-Troy, NY",75.3,17.2,-73.8438695
,dma:,dma:,34.4952755,83.3,790,"Albuquerque-Santa Fe, NM",38.9,44.8,-106.526644
,dma:,dma:,31.322628,92.4,644,"Alexandria, LA",54.4,38.8,-92.61795
,dma:,dma:,44.856283,90.3,583,"Alpena, MI",58,32.6,-83.5733565
,dma:,dma:,35.4797235,91,634,"Amarillo, TX",44.6,47,-102.063253
,dma:,dma:,33.9253975,93.9,524,"Atlanta, GA",55.7,38.7,-84.3335135
,dma:,dma:,33.2388275,89.8,520,"Augusta, GA",56.3,34.1,-81.9064505
,dma:,dma:,30.331427,87.9,635,"Austin, TX",61.6,27.3,-98.0272995
,dma:,dma:,35.291006,85.7,800,"Bakersfield, CA",50.5,35.8,-119.05459
,dma:,dma:,38.972515,95.1,512,"Baltimore, MD",74.1,21.6,-76.506469
,dma:,dma:,45.3356845,84.6,537,"Bangor, ME",40.5,44.5,-68.751059
,dma:,dma:,30.4278165,94.2,716,"Baton Rouge, LA",69.4,25.5,-91.140946
,dma:,dma:,30.3724315,92.1,692,"Beaumont-Port Arthur, TX",50.4,42.2,-94.1330155
,dma:,dma:,44.001647,82.6,821,"Bend, OR",60.5,22.8,-120.9495205
,dma:,dma:,45.8919365,85.5,756,"Billings, MT",51.9,34.2,-108.195493
,dma:,dma:,30.651123,92.3,746,"Biloxi-Gulfport, MS",68.1,25.2,-88.868398
,dma:,dma:,42.2963485,91.4,502,"Binghamton, NY",72.8,19.3,-75.4931575
,dma:,dma:,33.5031,93.4,630,"Birmingham (Anniston and Tuscaloosa), AL",48.7,45.3,-86.869635
,dma:,dma:,37.6001745,95.7,559,"Bluefield-Beckley-Oak Hill, WV",63.1,33.4,-80.978172
,dma:,dma:,43.632029,70.7,757,"Boise, ID",24.7,46.2,-117.0232835
,dma:,dma:,42.501023,98.8,506,"Boston, MA (Manchester, NH)",87.2,12.8,-71.460493
,dma:,dma:,37.0341725,90.8,736,"Bowling Green, KY",71,20.6,-85.99226
,dma:,dma:,42.42369,92.3,514,"Buffalo, NY",62.2,30.7,-78.6800405
,dma:,dma:,44.071301,90.8,523,"Burlington, VT-Plattsburgh, NY",52.5,38.7,-73.0368725
,dma:,dma:,45.979098,81.9,754,"Butte-Bozeman, MT",42.5,39.6,-112.3609785
,dma:,dma:,43.412869,91.3,767,"Casper-Riverton, WY",60.3,31.6,-107.4728085
,dma:,dma:,42.331217,86.5,637,"Cedar Rapids-Waterloo-Iowa City & Dubuque, IA",55.4,31.6,-91.7493605
,dma:,dma:,39.9606635,92.1,648,"Champaign & Springfield-Decatur, IL",57.4,35.2,-89.0627055
,dma:,dma:,33.181204,92,519,"Charleston, SC",63.7,28.9,-80.042272
,dma:,dma:,38.376208,94.4,564,"Charleston-Huntington, WV",53.7,41.2,-82.039491
,dma:,dma:,35.477172,92.6,517,"Charlotte, NC",58.5,34.8,-80.76953
,dma:,dma:,38.1802125,86.2,584,"Charlottesville, VA",51.3,35.5,-78.4610955
,dma:,dma:,35.204094,91.2,575,"Chattanooga, TN",58.6,33.2,-84.7884855
,dma:,dma:,41.8048825,92.2,759,"Cheyenne, WY-Scottsbluff, NE",61.6,30.8,-104.3206125
,dma:,dma:,41.615065,89.2,602,"Chicago, IL",62,28.2,-87.8455645
,dma:,dma:,40.3359675,85.4,868,"Chico-Redding, CA",32.3,53.6,-122.350166
,dma:,dma:,39.0338655,85.7,515,"Cincinnati, OH",58.7,27.4,-84.357866
,dma:,dma:,38.93329,95.4,598,"Clarksburg-Weston, WV",54.2,42,-80.309074
,dma:,dma:,41.0958885,94.2,510,"Cleveland-Akron (Canton), OH",70.2,24.2,-81.71123
,dma:,dma:,38.061384,86.5,752,"Colorado Springs-Pueblo, CO",43.6,43.5,-104.0271685
,dma:,dma:,33.896366,88.6,546,"Columbia, SC",50.5,38.8,-80.9102195
,dma:,dma:,38.8629485,85.6,604,"Columbia-Jefferson City, MO",33.4,52.5,-92.26804
,dma:,dma:,32.2969995,93.2,522,"Columbus, GA",66.6,27.2,-84.8353915
,dma:,dma:,39.9719715,89.4,535,"Columbus, OH",67.1,22.4,-82.734151
,dma:,dma:,33.9623585,90,673,"Columbus-Tupelo-West Point, MS",31.6,59.3,-88.939003
,dma:,dma:,27.6933695,90.8,600,"Corpus Christi, TX",59.4,32,-97.8595055
,dma:,dma:,32.702473,83.9,623,"Dallas-Ft. Worth, TX",48.5,36.2,-97.098903
,dma:,dma:,41.5680725,87.7,682,"Davenport, IA-Rock Island-Moline, IL",54.1,34,-90.4412815
,dma:,dma:,40.1392235,85.4,542,"Dayton, OH",60.8,24.7,-84.3547855
,dma:,dma:,39.74,89.6,751,"Denver, CO",48.9,41.1,-104.79
,dma:,dma:,41.8822865,83,679,"Des Moines-Ames, IA",45.2,38.4,-93.6950785
,dma:,dma:,42.7069935,89.9,505,"Detroit, MI",69.8,20.6,-83.2883905
,dma:,dma:,31.2429535,91.2,606,"Dothan, AL",54.3,37.5,-85.412413
,dma:,dma:,47.169647,81.6,676,"Duluth, MN-Superior, WI",37.3,44.6,-91.7104225
,dma:,dma:,31.840946,72,765,"El Paso, TX",41.6,31.1,-105.6619505
,dma:,dma:,42.0595215,94.6,565,"Elmira, NY",68.5,26.6,-77.1441155
,dma:,dma:,41.8794375,86.9,516,"Erie, PA",54.8,32.8,-79.717601
,dma:,dma:,43.6937855,86.2,801,"Eugene, OR",51.3,35.4,-123.1256445
,dma:,dma:,41.001389,83.9,802,"Eureka, CA",58.6,26.4,-123.908896
,dma:,dma:,37.8233245,89.9,649,"Evansville, IN",49.3,40.9,-87.5662395
,dma:,dma:,47.659799,89.2,724,"Fargo-Valley City, ND",54.9,34.8,-97.1383975
,dma:,dma:,43.643882,90.2,513,"Flint-Saginaw-Bay City, MI",59.6,31,-83.847331
,dma:,dma:,36.846642,80.4,866,"Fresno-Visalia, CA",34.7,46.4,-119.613123
,dma:,dma:,26.5720265,94.9,571,"Ft. Myers-Naples, FL",62.5,33.5,-81.6230635
,dma:,dma:,35.5031505,89.5,670,"Ft. Smith-Fayetteville-Springdale-Rogers, AR",51.1,38.7,-94.202877
,dma:,dma:,41.0334615,79,509,"Ft. Wayne, IN",45.1,34.3,-85.1430895
,dma:,dma:,29.4735495,89.8,592,"Gainesville, FL",56.6,33.9,-82.7294775
,dma:,dma:,46.836368,93.8,798,"Glendive, MT",68.6,26,-105.065505
,dma:,dma:,38.425681,84.9,773,"Grand Junction-Montrose, CO",52.8,32.5,-108.2153545
,dma:,dma:,42.7892405,86.4,563,"Grand Rapids-Kalamazoo-Battle Creek, MI",55.2,31.6,-85.624075
,dma:,dma:,47.838823,88,755,"Great Falls, MT",47.3,41.2,-109.9362935
,dma:,dma:,44.7644785,80,658,"Green Bay-Appleton, WI",49.7,30.6,-88.2017
,dma:,dma:,35.994693,91.9,518,"Greensboro-High Point-Winston Salem, NC",58.9,33.5,-80.4077355
,dma:,dma:,35.342169,89,545,"Greenville-New Bern-Washington, NC",53.7,35.7,-76.9754245
,dma:,dma:,35.0526635,92.8,567,"Greenville-Spartanburg, SC-Asheville, NC-Anderson,SC",46,47.2,-82.697701
,dma:,dma:,33.585109,92.8,647,"Greenwood-Greenville, MS",58.9,35.1,-90.4836365
,dma:,dma:,26.311933,69.7,636,"Harlingen-Weslaco-Brownsville-McAllen, TX",41,29.3,-98.157698
,dma:,dma:,40.2836345,92.5,566,"Harrisburg-Lancaster-Lebanon-York, PA",68,25,-76.882001
,dma:,dma:,38.4231645,91.8,569,"Harrisonburg, VA",58.4,33.9,-79.0679395
