Region,State
Northeast,Connecticut
Northeast,Maine
Northeast,Massachusetts
Northeast,New Hampshire
Northeast,Rhode Island
Northeast,Vermont
Northeast,Delaware
Northeast,Maryland
Northeast,New Jersey
Northeast,New York
Northeast,Pennsylvania
South,Alabama
South,Arkansas
South,Florida
South,Georgia
South,Kentucky
South,Louisiana
South,Mississippi
South,Missouri
South,North Carolina
South,South Carolina
South,Tennessee
South,Virginia
South,West Virginia
Southwest,Arizona
Southwest,New Mexico
Southwest,Oklahoma
Southwest,Texas
Midwest,Illinois
Midwest,Indiana
Midwest,Iowa
Midwest,Kansas
Midwest,Michigan
Midwest,Minnesota
Midwest,Nebraska
Midwest,North Dakota
Midwest,Ohio
Midwest,South Dakota
Midwest,Wisconsin
West,Alaska
West,California
West,Colorado
West,Hawaii
West,Idaho
West,Montana
West,Nevada
West,Oregon
West,Utah
West,Washington
West,Wyoming
Federal District,D.C.
