"name","gender","count"
"mary","F",1980461
"jennifer","F",1463600
"linda","F",1410910
"patricia","F",1264215
"elizabeth","F",1157407
"susan","F",1074265
"jessica","F",1040087
"barbara","F",1007431
"karen","F",964502
"lisa","F",963149
"sarah","F",894658
"ashley","F",838115
"kimberly","F",830914
"sandra","F",825323
"michelle","F",805818
"nancy","F",780893
"amanda","F",763636
"emily","F",756412
"melissa","F",747897
"deborah","F",734215
"stephanie","F",723761
"donna","F",719659
"rebecca","F",698922
"cynthia","F",690507
"sharon","F",688547
"carol","F",667649
"amy","F",665426
"laura","F",656296
"angela","F",640159
"kathleen","F",619959
"brenda","F",598479
"pamela","F",590703
"nicole","F",581796
"samantha","F",560095
"debra","F",549621
"margaret","F",529791
"heather","F",523412
"christine","F",521160
"rachel","F",513081
"katherine","F",495618
"julie","F",495327
"diane","F",492439
"maria","F",474215
"kelly","F",469530
"lauren","F",462122
"christina","F",461587
"carolyn","F",448275
"janet","F",441969
"cheryl","F",437350
"megan","F",435027
"victoria","F",432629
"andrea","F",422053
"anna","F",417462
"emma","F",416892
"catherine","F",413482
"hannah","F",396231
"judith","F",391680
"teresa","F",386162
"olivia","F",380010
"denise","F",367580
"amber","F",366939
"danielle","F",364145
"jacqueline","F",362993
"betty","F",357785
"brittany","F",357158
"madison","F",356592
"judy","F",355375
"sara","F",352779
"kathryn","F",346743
"shirley","F",341466
"janice","F",340393
"lori","F",340193
"joyce","F",339284
"diana","F",337098
"tiffany","F",334912
"abigail","F",332499
"kayla","F",331714
"kathy","F",331457
"tammy","F",331029
"alexis","F",330842
"crystal","F",324615
"natalie","F",317909
"taylor","F",311853
"erin","F",308762
"julia","F",305623
"theresa","F",301456
"alyssa","F",299591
"ann","F",297457
"shannon","F",294010
"sophia","F",288157
"robin","F",287556
"tina","F",285835
"isabella","F",282171
"dawn","F",280446
"allison","F",279359
"martha","F",268505
"dorothy","F",267032
"jamie","F",263859
"gloria","F",262588
"beverly","F",261614
"leslie","F",260772
"paula","F",260618
"wendy","F",257539
"virginia","F",256357
"courtney","F",255926
"grace","F",255391
"cindy","F",255204
"joan","F",251927
"bonnie","F",251721
"tracy","F",249757
"vanessa","F",246476
"valerie","F",246403
"brianna","F",244658
"connie","F",239773
"monica","F",239726
"jasmine","F",238914
"april","F",236199
"jane","F",233233
"marilyn","F",233207
"melanie","F",232527
"evelyn","F",230197
"ruth","F",229753
"erica","F",229093
"sherry","F",224814
"alexandra","F",224508
"sheila","F",224457
"michele","F",222406
"helen","F",217247
"kristen","F",217097
"alicia","F",216512
"charlotte","F",213759
"ava","F",211963
"anne","F",209446
"jean","F",208769
"peggy","F",208404
"morgan","F",208108
"rhonda","F",207188
"jill","F",205946
"suzanne","F",199622
"alice","F",198345
"holly","F",197808
"marie","F",195249
"rose","F",194702
"katie","F",194685
"leah","F",194285
"frances","F",194009
"wanda","F",188688
"mia","F",188421
"dana","F",188264
"veronica","F",186767
"debbie","F",186525
"brooke","F",185078
"chloe","F",184919
"gail","F",181972
"kim","F",178406
"kristin","F",178335
"renee","F",176856
"ellen","F",175889
"lynn","F",175878
"carrie","F",175804
"audrey","F",174905
"tara","F",173008
"elaine","F",169422
"cathy","F",169149
"darlene","F",169001
"phyllis","F",165782
"cassandra","F",164301
"laurie","F",164010
"caroline","F",162322
"lillian","F",162273
"stacy","F",161956
"sydney","F",161746
"rita","F",161220
"joanne","F",161080
"kaitlyn","F",160255
"ella","F",160222
"anita","F",158928
"chelsea","F",157344
"lindsey","F",154606
"haley","F",152901
"vicki","F",151652
"savannah","F",150892
"gina","F",150804
"hailey","F",149200
"beth","F",149113
"stacey","F",146983
"molly","F",146126
"colleen","F",145756
"carla","F",144687
"kelsey","F",144507
"terri","F",144066
"sylvia","F",142135
"jenna","F",142017
"destiny","F",141948
"regina","F",141605
"jo","F",141323
"sally","F",139254
"heidi","F",138519
"annette","F",137580
"doris","F",135250
"shelby","F",134789
"kristina","F",134769
"paige","F",133647
"madeline","F",133530
"sabrina","F",133456
"melinda","F",133369
"claire","F",131149
"maureen","F",129619
"tamara","F",129303
"katelyn","F",129186
"gabrielle","F",129083
"jordan","F",128067
"lindsay","F",127959
"deanna","F",127259
"ruby","F",123607
"erika","F",122559
"amelia","F",120839
"yvonne","F",120792
"tonya","F",120037
"eileen","F",118643
"faith","F",118374
"mackenzie","F",118130
"marissa","F",118091
"lily","F",117396
"norma","F",117063
"kaylee","F",116967
"lydia","F",116808
"tanya","F",115345
"alexa","F",113855
"lois","F",112268
"autumn","F",112212
"charlene","F",112028
"marcia","F",111261
"joann","F",110881
"caitlin","F",110802
"carmen","F",110491
"roberta","F",110329
"eva","F",109819
"vickie","F",108854
"miranda","F",107807
"sue","F",107671
"alison","F",107582
"claudia","F",107373
"zoe","F",107292
"annie","F",106773
"sofia","F",106446
"vivian","F",106202
"brandy","F",105931
"joy","F",104897
"jeanne","F",104454
"addison","F",104183
"gabriella","F",104136
"yolanda","F",102501
"mariah","F",101870
"brandi","F",101310
"jeanette","F",101159
"kylie","F",101062
"marsha","F",101024
"irene","F",100652
"lorraine","F",100546
"avery","F",100129
"jocelyn","F",97984
"christy","F",97724
"makayla","F",97310
"kara","F",97239
"loretta","F",97105
"toni","F",96494
"katrina","F",96488
"naomi","F",96368
"glenda","F",96130
"juanita","F",95921
"rosa","F",95575
"bethany","F",95272
"ana","F",94836
"priscilla","F",94745
"penny","F",94552
"natasha","F",94413
"whitney","F",94177
"sierra","F",94152
"meghan","F",94068
"alexandria","F",93571
"constance","F",93474
"terry","F",93335
"lucy","F",91975
"rosemary","F",91923
"joanna","F",91769
"aubrey","F",91639
"bailey","F",91626
"kendra","F",91481
"gwendolyn","F",91379
"angelina","F",90391
"josephine","F",90324
"dianne","F",90234
"geraldine","F",89098
"briana","F",88993
"angel","F",88118
"melody","F",87934
"ariana","F",87747
"riley","F",87278
"felicia","F",87260
"marlene","F",86958
"karla","F",86523
"brooklyn","F",86315
"tracey","F",86195
"angelica","F",85838
"esther","F",85412
"becky","F",84619
"isabel","F",84514
"adriana","F",84321
"misty","F",84291
"shelly","F",83724
"jenny","F",83546
"sherri","F",83395
