"name","gender","female_count","male_count","p_female","odds_female","log_ods_female"
"penelope","F",43928,0,1,Inf,Inf
"lila","F",32048,0,1,Inf,Inf
"delilah","F",28051,0,1,Inf,Inf
"leanne","F",27587,0,1,Inf,Inf
"brenna","F",27385,0,1,Inf,Inf
"alina","F",25796,0,1,Inf,Inf
"brielle","F",24809,0,1,Inf,Inf
"therese","F",24745,0,1,Inf,Inf
"julianne","F",24239,0,1,Inf,Inf
"athena","F",24202,0,1,Inf,Inf
"juliet","F",22309,0,1,Inf,Inf
"sondra","F",21597,0,1,Inf,Inf
"izabella","F",21196,0,1,Inf,Inf
"lyla","F",21001,0,1,Inf,Inf
"susanne","F",20650,0,1,Inf,Inf
"emilia","F",20362,0,1,Inf,Inf
"larissa","F",20326,0,1,Inf,Inf
"elaina","F",20019,0,1,Inf,Inf
"malia","F",19543,0,1,Inf,Inf
"lexi","F",19528,0,1,Inf,Inf
"kaylie","F",19206,0,1,Inf,Inf
"karissa","F",19059,0,1,Inf,Inf
"helena","F",18775,0,1,Inf,Inf
"eloise","F",18489,0,1,Inf,Inf
"bryanna","F",18153,0,1,Inf,Inf
"tabatha","F",18115,0,1,Inf,Inf
"eve","F",17936,0,1,Inf,Inf
"madalyn","F",17873,0,1,Inf,Inf
"rosalind","F",17632,0,1,Inf,Inf
"ladonna","F",17520,0,1,Inf,Inf
"colette","F",17400,0,1,Inf,Inf
"greta","F",17359,0,1,Inf,Inf
"kimberlee","F",17318,0,1,Inf,Inf
"jeannine","F",17309,0,1,Inf,Inf
"valarie","F",17045,0,1,Inf,Inf
"polly","F",16734,0,1,Inf,Inf
"juliette","F",16467,0,1,Inf,Inf
"deirdre","F",16134,0,1,Inf,Inf
"mikaela","F",16104,0,1,Inf,Inf
"annika","F",16042,0,1,Inf,Inf
"noreen","F",15969,0,1,Inf,Inf
"alessandra","F",15817,0,1,Inf,Inf
"destinee","F",15708,0,1,Inf,Inf
"annmarie","F",15519,0,1,Inf,Inf
"ayla","F",15482,0,1,Inf,Inf
"malinda","F",15044,0,1,Inf,Inf
"aniya","F",14964,0,1,Inf,Inf
"tiffani","F",14796,0,1,Inf,Inf
"shania","F",14764,0,1,Inf,Inf
"nanette","F",14715,0,1,Inf,Inf
"evangeline","F",14697,0,1,Inf,Inf
"helene","F",14577,0,1,Inf,Inf
"kathie","F",14512,0,1,Inf,Inf
"cheyanne","F",14462,0,1,Inf,Inf
"anya","F",14397,0,1,Inf,Inf
"selina","F",14390,0,1,Inf,Inf
"madilyn","F",14367,0,1,Inf,Inf
"adele","F",14358,0,1,Inf,Inf
"nyla","F",14338,0,1,Inf,Inf
"melina","F",14335,0,1,Inf,Inf
"lynnette","F",14221,0,1,Inf,Inf
"jeanie","F",14199,0,1,Inf,Inf
"lenora","F",14190,0,1,Inf,Inf
"rosalyn","F",14051,0,1,Inf,Inf
"danica","F",13987,0,1,Inf,Inf
"janna","F",13599,0,1,Inf,Inf
"elissa","F",13580,0,1,Inf,Inf
"tamera","F",13415,0,1,Inf,Inf
"lilliana","F",13355,0,1,Inf,Inf
"camilla","F",13256,0,1,Inf,Inf
"chelsie","F",13242,0,1,Inf,Inf
"ayanna","F",13161,0,1,Inf,Inf
"adalyn","F",13102,0,1,Inf,Inf
"wendi","F",13046,0,1,Inf,Inf
"sheree","F",12956,0,1,Inf,Inf
"corina","F",12827,0,1,Inf,Inf
"tammi","F",12771,0,1,Inf,Inf
"kaila","F",12764,0,1,Inf,Inf
"reba","F",12716,0,1,Inf,Inf
"susanna","F",12664,0,1,Inf,Inf
"estrella","F",12622,0,1,Inf,Inf
"tess","F",12588,0,1,Inf,Inf
"rosetta","F",12565,0,1,Inf,Inf
"liana","F",12547,0,1,Inf,Inf
"samara","F",12464,0,1,Inf,Inf
"anika","F",12422,0,1,Inf,Inf
"leeann","F",12219,0,1,Inf,Inf
"tianna","F",12143,0,1,Inf,Inf
"lilian","F",12126,0,1,Inf,Inf
