"state","abbreviation","region","zip","latitude","longitude"
"Massachusetts","MA","Northeast","01001",42.062368,-72.625754
"Massachusetts","MA","Northeast","01002",42.364061,-72.458739
"Massachusetts","MA","Northeast","01003",42.389941,-72.524108
"Massachusetts","MA","Northeast","01005",42.418848,-72.106598
"Massachusetts","MA","Northeast","01007",42.27901,-72.400468
"Massachusetts","MA","Northeast","01008",42.190144,-72.95435
"Massachusetts","MA","Northeast","01009",42.211969,-72.341433
"Massachusetts","MA","Northeast","01010",42.128176,-72.205352
"Massachusetts","MA","Northeast","01011",42.300281,-72.968716
"Massachusetts","MA","Northeast","01012",42.375425,-72.858192
"Massachusetts","MA","Northeast","01013",42.154904,-72.602804
"Massachusetts","MA","Northeast","01020",42.172602,-72.562073
"Massachusetts","MA","Northeast","01022",42.197741,-72.542713
"Massachusetts","MA","Northeast","01026",42.465495,-72.918267
"Massachusetts","MA","Northeast","01027",42.295008,-72.751877
"Massachusetts","MA","Northeast","01028",42.062378,-72.498111
"Massachusetts","MA","Northeast","01029",42.193395,-73.044647
"Massachusetts","MA","Northeast","01030",42.072925,-72.686972
"Massachusetts","MA","Northeast","01031",42.329399,-72.198187
"Massachusetts","MA","Northeast","01032",42.457613,-72.81478
"Massachusetts","MA","Northeast","01033",42.244949,-72.500143
"Massachusetts","MA","Northeast","01034",42.098676,-72.961564
"Massachusetts","MA","Northeast","01035",42.356491,-72.568632
"Massachusetts","MA","Northeast","01036",42.062946,-72.417297
"Massachusetts","MA","Northeast","01037",42.372728,-72.195412
"Massachusetts","MA","Northeast","01038",42.385496,-72.606929
"Massachusetts","MA","Northeast","01039",42.404278,-72.688922
"Massachusetts","MA","Northeast","01040",42.211656,-72.642448
"Massachusetts","MA","Northeast","01050",42.286762,-72.869695
"Massachusetts","MA","Northeast","01053",42.356301,-72.713584
"Massachusetts","MA","Northeast","01054",42.468898,-72.484579
"Massachusetts","MA","Northeast","01056",42.183577,-72.457812
"Massachusetts","MA","Northeast","01057",42.093596,-72.321494
"Massachusetts","MA","Northeast","01060",42.321488,-72.630588
"Massachusetts","MA","Northeast","01062",42.328308,-72.703924
"Massachusetts","MA","Northeast","01063",42.318882,-72.63853
"Massachusetts","MA","Northeast","01066",42.406903,-72.655018
"Massachusetts","MA","Northeast","01068",42.350862,-72.044248
"Massachusetts","MA","Northeast","01069",42.187794,-72.308469
"Massachusetts","MA","Northeast","01070",42.518446,-72.919017
"Massachusetts","MA","Northeast","01071",42.16006,-72.873853
"Massachusetts","MA","Northeast","01072",42.456968,-72.417244
"Massachusetts","MA","Northeast","01073",42.226949,-72.741588
"Massachusetts","MA","Northeast","01074",42.387603,-72.09323
"Massachusetts","MA","Northeast","01075",42.256208,-72.58103
"Massachusetts","MA","Northeast","01077",42.05257,-72.777353
"Massachusetts","MA","Northeast","01079",42.197913,-72.329709
"Massachusetts","MA","Northeast","01080",42.185727,-72.361558
"Massachusetts","MA","Northeast","01081",42.061313,-72.234411
"Massachusetts","MA","Northeast","01082",42.293533,-72.278599
"Massachusetts","MA","Northeast","01083",42.203642,-72.194599
"Massachusetts","MA","Northeast","01084",42.39237,-72.882235
"Massachusetts","MA","Northeast","01085",42.153503,-72.771602
"Massachusetts","MA","Northeast","01086",42.130446,-72.793967
"Massachusetts","MA","Northeast","01088",42.391709,-72.646494
"Massachusetts","MA","Northeast","01089",42.125451,-72.649734
"Massachusetts","MA","Northeast","01092",42.191868,-72.235108
"Massachusetts","MA","Northeast","01093",42.441943,-72.661817
"Massachusetts","MA","Northeast","01094",42.359108,-72.1368
"Massachusetts","MA","Northeast","01095",42.138499,-72.420715
"Massachusetts","MA","Northeast","01096",42.39714,-72.763572
"Massachusetts","MA","Northeast","01097",42.178038,-72.832612
"Massachusetts","MA","Northeast","01098",42.394315,-72.943115
"Massachusetts","MA","Northeast","01103",42.104106,-72.592027
"Massachusetts","MA","Northeast","01104",42.134009,-72.565378
"Massachusetts","MA","Northeast","01105",42.099958,-72.580765
"Massachusetts","MA","Northeast","01106",42.047565,-72.57113
"Massachusetts","MA","Northeast","01107",42.12106,-72.607068
"Massachusetts","MA","Northeast","01108",42.080692,-72.560791
"Massachusetts","MA","Northeast","01109",42.119674,-72.549726
"Massachusetts","MA","Northeast","01118",42.094194,-72.525081
"Massachusetts","MA","Northeast","01119",42.124978,-72.51121
"Massachusetts","MA","Northeast","01128",42.092296,-72.489135
"Massachusetts","MA","Northeast","01129",42.11869,-72.4882
"Massachusetts","MA","Northeast","01151",42.15186,-72.509131
"Massachusetts","MA","Northeast","01199",42.120563,-72.604468
"Massachusetts","MA","Northeast","01201",42.448236,-73.273727
"Massachusetts","MA","Northeast","01220",42.623799,-73.116736
"Massachusetts","MA","Northeast","01222",42.058703,-73.322175
"Massachusetts","MA","Northeast","01223",42.312225,-73.110124
"Massachusetts","MA","Northeast","01224",42.513163,-73.195743
"Massachusetts","MA","Northeast","01225",42.563401,-73.153335
"Massachusetts","MA","Northeast","01226",42.481119,-73.135073
"Massachusetts","MA","Northeast","01229",42.276338,-73.335896
"Massachusetts","MA","Northeast","01230",42.173192,-73.324283
"Massachusetts","MA","Northeast","01235",42.425676,-73.063012
"Massachusetts","MA","Northeast","01236",42.266496,-73.378393
"Massachusetts","MA","Northeast","01237",42.547818,-73.268033
"Massachusetts","MA","Northeast","01238",42.297501,-73.230148
"Massachusetts","MA","Northeast","01240",42.367858,-73.269763
"Massachusetts","MA","Northeast","01242",42.333734,-73.249199
"Massachusetts","MA","Northeast","01243",42.350122,-73.024112
"Massachusetts","MA","Northeast","01244",42.118094,-73.257497
